#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
c_aachen_adj;Aachener;;;;;;;;;;;;;x
c_aalst_adj;Aalster;;;;;;;;;;;;;x
c_aargau_adj;Aargauer;aargauer;;;;;;;;;;;;x
c_dorylaion_adj_norman;Doryléan;Dorylée;;;;;;;;;;;;x
c_dorylaion_adj_oghuz;Kütahiyan;Kütahiya;;;;;;;;;;;;x
c_dorylaion_adj_sardinian;Dorylean;Dorylea;;;;;;;;;;;;x
c_dorylaion_adj_sicilian;Dorylean;Dorylea;;;;;;;;;;;;x
c_dorylaion_adj_southern_italian;Dorylean;Dorylea;;;;;;;;;;;;x
c_dorylaion_adj_turkish;Kütahiyan;Kütahiya;;;;;;;;;;;;x
c_dorylaion_adj_turkmen;Kütahiyan;Kütahiya;;;;;;;;;;;;x
c_dorylaion_adj_tuscan;Dorylean;Dorylea;;;;;;;;;;;;x
c_dorylaion_adj_venetian;Dorylean;Dorylea;;;;;;;;;;;;x
c_dovadola_adj;Dovadola;;;;;;;;;;;;;x
c_draa_adj;Dra'í;;;;;;;;;;;;;x
c_dreux_adj;Dreuxan;;;;;;;;;;;;;x
c_druck_adj;Drutsk;;;;;;;;;;;;;x
c_dunbar_adj;Berwickeach;;;;;;;;;;;;;x
c_dunbreatainn_adj;Lennoxeach;;;;;;;;;;;;;x
c_dunphris_adj;Annandalian;;;;;;;;;;;;;x
c_duqm_adj;Duqmi;;;;;;;;;;;;;x
c_durham_adj;Durhamish;;;;;;;;;;;;;x
c_durham_adj_danish;Dunholmr;;;;;;;;;;;;;x
c_durham_adj_gothic;Dunholmr;;;;;;;;;;;;;x
c_durham_adj_icelandic;Dunholmr;;;;;;;;;;;;;x
c_durham_adj_norman;Duresmean;;;;;;;;;;;;;x
c_durham_adj_norse;Dunholmr;;;;;;;;;;;;;x
c_durham_adj_norsegaelic;Dunholmr;;;;;;;;;;;;;x
c_durham_adj_norwegian;Dunholmr;;;;;;;;;;;;;x
c_durham_adj_saxon;Dunholmisc;;;;;;;;;;;;;x
c_durham_adj_swedish;Dunholmr;;;;;;;;;;;;;x
c_duvzare_adj;Duvzarish;Duvzare;Duvzare;;Duvzare;;;;;;;;;x
c_dwin_adj_andalusian_arabic;Dabilian;Dabil;;;;;;;;;;;;x
c_dwin_adj_bedouin_arabic;Dabilian;Dabil;;;;;;;;;;;;x
c_dwin_adj_egyptian_arabic;Dabilian;Dabil;;;;;;;;;;;;x
c_dwin_adj_greek;Doúbian;Doúbios;;;;;;;;;;;;x
c_dwin_adj_levantine_arabic;Dabilian;Dabil;;;;;;;;;;;;x
c_dwin_adj_maghreb_arabic;Dabilian;Dabil;;;;;;;;;;;;x
c_dwin_adj_oghuz;Erivani;Erivan;;;;;;;;;;;;x
c_dwin_adj_sicilian_arabic;Dabilian;Dabil;;;;;;;;;;;;x
c_dwin_adj_turkish;Erivani;Erivan;;;;;;;;;;;;x
c_dwin_adj_turkmen;Erivani;Erivan;;;;;;;;;;;;x
c_dyfed_adj;Dyfedeg;;;;;;;;;;;;;x
c_dyrrachion_adj;Dyrrachian;Dyrrachion;;;;;;;;;;;;x
c_dyrrachion_adj_arberian;Dürresian;Dürres;;;;;;;;;;;;x
c_dyrrachion_adj_bulgarian;Dracian;Drac;;;;;;;;;;;;x
c_dyrrachion_adj_central_italian;Durazzian;Durazzo;;;;;;;;;;;;x
c_dyrrachion_adj_corsican;Durazzian;Durazzo;;;;;;;;;;;;x
c_dyrrachion_adj_dalmatian;Durazzian;Durazzo;;;;;;;;;;;;x
c_dyrrachion_adj_italian;Durazzian;Durazzo;;;;;;;;;;;;x
c_dyrrachion_adj_ligurian;Durazzian;Durazzo;;;;;;;;;;;;x
c_dyrrachion_adj_neapolitan;Durazzian;Durazzo;;;;;;;;;;;;x
c_dyrrachion_adj_oghuz;Diraçi;Diraç;;;;;;;;;;;;x
c_dyrrachion_adj_sardinian;Durazzian;Durazzo;;;;;;;;;;;;x
c_dyrrachion_adj_serbian;Dracian;Drac;;;;;;;;;;;;x
c_dyrrachion_adj_sicilian;Durazzian;Durazzo;;;;;;;;;;;;x
c_dyrrachion_adj_southern_italian;Durazzian;Durazzo;;;;;;;;;;;;x
c_dyrrachion_adj_turkish;Diraçi;Diraç;;;;;;;;;;;;x
c_dyrrachion_adj_turkmen;Diraçi;Diraç;;;;;;;;;;;;x
c_dyrrachion_adj_tuscan;Durazzian;Durazzo;;;;;;;;;;;;x
c_dyrrachion_adj_venetian;Durazzian;Durazzo;;;;;;;;;;;;x
c_dzopk_adj;Dzopkian;Dzopk;;;;;;;;;;;;x
c_dzopk_adj_andalusian_arabic;Šimšati;Šimšat;;;;;;;;;;;;x
c_dzopk_adj_bedouin_arabic;Šimšati;Šimšat;;;;;;;;;;;;x
c_dzopk_adj_egyptian_arabic;Šimšati;Šimšat;;;;;;;;;;;;x
c_dzopk_adj_greek;Arsamosatonian;Arsamosaton;;;;;;;;;;;;x
c_dzopk_adj_kurdish;Erxenîan;Erxenî;;;;;;;;;;;;x
c_dzopk_adj_levantine_arabic;Šimšati;Šimšat;;;;;;;;;;;;x
c_dzopk_adj_maghreb_arabic;Šimšati;Šimšat;;;;;;;;;;;;x
c_dzopk_adj_oghuz;Osmaniyan;Osmaniye;;;;;;;;;;;;x
c_dzopk_adj_sicilian_arabic;Šimšati;Šimšat;;;;;;;;;;;;x
c_dzopk_adj_turkish;Osmaniyan;Osmaniye;;;;;;;;;;;;x
c_dzopk_adj_turkmen;Osmaniyan;Osmaniye;;;;;;;;;;;;x
c_eastern_skane_adj;Østær Skanskr;;;;;;;;;;;;;x
c_edessa_adj_andalusian_arabic;Ruhan;Ar-Ruha;;;;;;;;;;;;x
c_edessa_adj_bedouin_arabic;Ruhan;Ar-Ruha;;;;;;;;;;;;x
c_edessa_adj_egyptian_arabic;Ruhan;Ar-Ruha;;;;;;;;;;;;x
c_edessa_adj_kurdish;Rihan;Riha;;;;;;;;;;;;x
c_edessa_adj_levantine_arabic;Ruhan;Ar-Ruha;;;;;;;;;;;;x
c_edessa_adj_maghreb_arabic;Ruhan;Ar-Ruha;;;;;;;;;;;;x
c_edessa_adj_masmuda;Ruhan;Ar-Ruha;;;;;;;;;;;;x
c_edessa_adj_oghuz;Urfan;Urfa;;;;;;;;;;;;x
c_edessa_adj_sanhaja;Ruhan;Ar-Ruha;;;;;;;;;;;;x
c_edessa_adj_sicilian_arabic;Ruhan;Ar-Ruha;;;;;;;;;;;;x
c_edessa_adj_tagelmust;Ruhan;Ar-Ruha;;;;;;;;;;;;x
c_edessa_adj_tuareg;Ruhan;Ar-Ruha;;;;;;;;;;;;x
c_edessa_adj_turkish;Urfan;Urfa;;;;;;;;;;;;x
c_edessa_adj_turkmen;Urfan;Urfa;;;;;;;;;;;;x
c_edessa_adj_zanata;Ruhan;Ar-Ruha;;;;;;;;;;;;x
c_eivissa_adj;Ibicenca;;;;;;;;;;;;;x
c_el_arish_adj_greek;Pelousian;Pelousion;;;;;;;;;;;;x
c_el_rif_adj;Tází;;;;;;;;;;;;;x
c_elgolea_adj;Qulayí;;;;;;;;;;;;;x
c_ely_adj;Elyian;;;;;;;;;;;;;x
c_emil_adj;Emil;;;;;;;;;;;;;x
c_epeiros_adj_arberian;Epirian;Epiri;;;;;;;;;;;;x
c_epeiros_adj_central_italian;Epirote;Epeiros;;;;;;;;;;;;x
c_epeiros_adj_corsican;Epirote;Epeiros;;;;;;;;;;;;x
c_epeiros_adj_dalmatian;Epirote;Epeiros;;;;;;;;;;;;x
c_epeiros_adj_greek;Epirote;Epeiros;;;;;;;;;;;;x
c_epeiros_adj_italian;Epirote;Epeiros;;;;;;;;;;;;x
c_epeiros_adj_ligurian;Epirote;Epeiros;;;;;;;;;;;;x
c_epeiros_adj_neapolitan;Epirote;Epeiros;;;;;;;;;;;;x
c_epeiros_adj_oghuz;Yanyán;Yanyá;;;;;;;;;;;;x
c_epeiros_adj_pecheneg;Yanyán;Yanyá;;;;;;;;;;;;x
c_epeiros_adj_sardinian;Epirote;Epeiros;;;;;;;;;;;;x
c_epeiros_adj_sicilian;Epirote;Epeiros;;;;;;;;;;;;x
c_epeiros_adj_southern_italian;Epirote;Epeiros;;;;;;;;;;;;x
c_epeiros_adj_turkish;Yanyán;Yanyá;;;;;;;;;;;;x
c_epeiros_adj_turkmen;Yanyán;Yanyá;;;;;;;;;;;;x
c_epeiros_adj_tuscan;Epirote;Epeiros;;;;;;;;;;;;x
c_epeiros_adj_venetian;Epirote;Epeiros;;;;;;;;;;;;x
c_ephesos_adj;Ionían;Ionía;;;;;;;;;;;;x
c_ephesos_adj_oghuz;Aydinian;Aydin;;;;;;;;;;;;x
c_ephesos_adj_turkish;Aydinian;Aydin;;;;;;;;;;;;x
c_ephesos_adj_turkmen;Aydinian;Aydin;;;;;;;;;;;;x
c_eppenstein_adj;Eppensteiner;;;;;;;;;;;;;x
c_erbil_adj;Erbilian;Erbil;;;;;;;;;;;;x
c_erbil_adj_andalusian_arabic;Arbilian;Arbil;;;;;;;;;;;;x
c_erbil_adj_assyrian;Arbelian;Arbel;;;;;;;;;;;;x
c_erbil_adj_bedouin_arabic;Arbilian;Arbil;;;;;;;;;;;;x
c_erbil_adj_egyptian_arabic;Arbilian;Arbil;;;;;;;;;;;;x
c_erbil_adj_greek;Arbelian;Arbela;;;;;;;;;;;;x
c_erbil_adj_levantine_arabic;Arbilian;Arbil;;;;;;;;;;;;x
c_erbil_adj_maghreb_arabic;Arbilian;Arbil;;;;;;;;;;;;x
c_erbil_adj_sicilian_arabic;Arbilian;Arbil;;;;;;;;;;;;x
c_essex_adj;Essexish;;;;;;;;;;;;;x
c_essex_adj_breton;Colunian;;;;;;;;;;;;;x
c_essex_adj_cornish;Colunian;;;;;;;;;;;;;x
c_essex_adj_cumbric;Colunian;;;;;;;;;;;;;x
c_essex_adj_danish;Austseaxr;;;;;;;;;;;;;x
c_essex_adj_gothic;Austseaxr;;;;;;;;;;;;;x
c_essex_adj_icelandic;Austseaxr;;;;;;;;;;;;;x
c_essex_adj_irish;Colunian;;;;;;;;;;;;;x
c_essex_adj_norse;Austseaxr;;;;;;;;;;;;;x
c_essex_adj_norsegaelic;Austseaxr;;;;;;;;;;;;;x
c_essex_adj_norwegian;Austseaxr;;;;;;;;;;;;;x
c_essex_adj_saxon;Eastseaxna;;;;;;;;;;;;;x
c_essex_adj_scottish;Colunian;;;;;;;;;;;;;x
c_essex_adj_swedish;Austseaxr;;;;;;;;;;;;;x
c_essex_adj_welsh;Colunian;;;;;;;;;;;;;x
c_este_adj;Este;;;;;;;;;;;;;x
c_esztergom_adj;Visegrádian;;;;;;;;;;;;;x
c_euboia_adj_catalan;Nigrepontian;Nigrepont;;;;;;;;;;;;x
c_euboia_adj_central_italian;Negropontian;Negropont;;;;;;;;;;;;x
c_euboia_adj_corsican;Negropontian;Negropont;;;;;;;;;;;;x
c_euboia_adj_dalmatian;Negropontian;Negropont;;;;;;;;;;;;x
c_euboia_adj_frankish;Negrepontian;Negrepont;;;;;;;;;;;;x
c_euboia_adj_greek;Euriposian;Euripos;;;;;;;;;;;;x
c_euboia_adj_italian;Negropontian;Negropont;;;;;;;;;;;;x
c_euboia_adj_ligurian;Negropontian;Negropont;;;;;;;;;;;;x
c_euboia_adj_neapolitan;Negropontian;Negropont;;;;;;;;;;;;x
c_euboia_adj_norman;Negrepontian;Negrepont;;;;;;;;;;;;x
c_euboia_adj_oghuz;Egribozian;Egriboz;;;;;;;;;;;;x
c_euboia_adj_pecheneg;Egribozian;Egriboz;;;;;;;;;;;;x
c_euboia_adj_sardinian;Negropontian;Negropont;;;;;;;;;;;;x
c_euboia_adj_sicilian;Negropontian;Negropont;;;;;;;;;;;;x
c_euboia_adj_southern_italian;Negropontian;Negropont;;;;;;;;;;;;x
c_euboia_adj_turkish;Egribozian;Egriboz;;;;;;;;;;;;x
c_euboia_adj_turkmen;Egribozian;Egriboz;;;;;;;;;;;;x
c_euboia_adj_tuscan;Negropontian;Negropont;;;;;;;;;;;;x
c_euboia_adj_venetian;Negropontian;Negropont;;;;;;;;;;;;x
c_eukhaita_adj;Euchaitan;Euchaita;;;;;;;;;;;;x
c_eukhaita_adj_oghuz;Çorumian;Çorum;;;;;;;;;;;;x
c_eukhaita_adj_turkish;Çorumian;Çorum;;;;;;;;;;;;x
c_eukhaita_adj_turkmen;Çorumian;Çorum;;;;;;;;;;;;x
c_everstein_adj;Eversteiner;;;;;;;;;;;;;x
c_famagusta_adj;Ammokhostian;Ammokhostos;;;;;;;;;;;;x
c_famagusta_adj_central_italian;Famagostan;Famagosta;;;;;;;;;;;;x
c_famagusta_adj_corsican;Famagostan;Famagosta;;;;;;;;;;;;x
c_famagusta_adj_dalmatian;Famagostan;Famagosta;;;;;;;;;;;;x
c_famagusta_adj_frankish;Famagoustan;Famagouste;;;;;;;;;;;;x
c_famagusta_adj_italian;Famagostan;Famagosta;;;;;;;;;;;;x
c_famagusta_adj_ligurian;Famagostan;Famagosta;;;;;;;;;;;;x
c_famagusta_adj_neapolitan;Famagostan;Famagosta;;;;;;;;;;;;x
c_famagusta_adj_norman;Famagoustan;Famagouste;;;;;;;;;;;;x
c_famagusta_adj_oghuz;Magusan;Magusa;;;;;;;;;;;;x
c_famagusta_adj_sardinian;Famagostan;Famagosta;;;;;;;;;;;;x
c_famagusta_adj_sicilian;Famagostan;Famagosta;;;;;;;;;;;;x
c_famagusta_adj_southern_italian;Famagostan;Famagosta;;;;;;;;;;;;x
c_famagusta_adj_turkish;Magusan;Magusa;;;;;;;;;;;;x
c_famagusta_adj_turkmen;Magusan;Magusa;;;;;;;;;;;;x
c_famagusta_adj_tuscan;Famagostan;Famagosta;;;;;;;;;;;;x
c_famagusta_adj_venetian;Famagostan;Famagosta;;;;;;;;;;;;x
c_farah_adj;Farahi;;;;;;;;;;;;;x
c_fayyum_adj;Fayyúmí;;;;;;;;;;;;;x
c_fayyum_adj_greek;Arsinoan;Arsinoë;;;;;;;;;;;;x
c_feher_adj;Fehérian;Fehér;Fehérische;;Fehér;;;;;;;;;x
c_feher_adj_german;Weißenburgish;Weißenburg;Weißenburger;;Weißenburg;;;;;;;;;x
c_feher_adj_low_german;Weyssenburgish;Weyssenburg;Weyssenburger;;Weyssenburg;;;;;;;;;x
c_feher_adj_romanian;Alba de Josan;Alba de Jos;Alba de Josische;;Alba de Jos;;;;;;;;;x
c_fejer_adj;Fejérian;;;;;;;;;;;;;x
c_ferghana_adj;Fergháni;;;;;;;;;;;;;x
c_ferrara_adj;Rodigine;;;;;;;;;;;;;x
c_fes_adj;Fásí;;;;;;;;;;;;;x
c_fife_adj;Fifeach;;;;;;;;;;;;;x
c_figuig_adj;Figuigí;;;;;;;;;;;;;x
c_finale_adj;Finalese;;;;;;;;;;;;;x
c_finnmark_adj;Finnr;;;;;;;;;;;;;x
c_finnveden_adj;Finnvedenr;;;;;;;;;;;;;x
c_firenze_adj;Florentine;;;;;;;;;;;;;x
c_fjadrundaland_adj;Fjädrundalandr;;;;;;;;;;;;;x
c_foerde_adj;Firðir;;;;;;;;;;;;;x
c_foggia_adj;Monte Sant Angelo;;;;;;;;;;;;;x
c_fondi_adj;Fondan;;;;;;;;;;;;;x
c_forcalquier_adj;Forcauquierenc;forcauquierenca;;;;;;;;;;;;x
c_frignano_adj;Frignanese;;;;;;;;;;;;;x
c_frisia_adj;Frisia;;;;;;;;;;;;;x
c_fuerteventura_adj;Fuerteventura;;;;;;;;;;;;;x
c_fuerteventura_adj_zanata;Mahãr-at;;;;;;;;;;;;;x
c_furstenberg_adj;Fürstenberger;;;;;;;;;;;;;x
c_fyn_adj;Fyunr;;;;;;;;;;;;;x
c_gabes_adj;Qábisí;;;;;;;;;;;;;x
c_gabes_adj_greek;Tacapian;Tacape;;;;;;;;;;;;x
c_gabes_adj_roman;Tacapaian;Tacapae;;;;;;;;;;;;x
c_gabiyaha_adj;Nastaráwí;;;;;;;;;;;;;x
c_gabiyaha_adj_central_italian;Rosettan;Rosetta;;;;;;;;;;;;x
c_gabiyaha_adj_corsican;Rosettan;Rosetta;;;;;;;;;;;;x
c_gabiyaha_adj_dalmatian;Rosettan;Rosetta;;;;;;;;;;;;x
c_gabiyaha_adj_frankish;Rosettan;Rosette;;;;;;;;;;;;x
c_gabiyaha_adj_greek;Bolbitinan;Bolbitinon;;;;;;;;;;;;x
c_gabiyaha_adj_italian;Rosettan;Rosetta;;;;;;;;;;;;x
c_gabiyaha_adj_ligurian;Rosettan;Rosetta;;;;;;;;;;;;x
c_gabiyaha_adj_neapolitan;Rosettan;Rosetta;;;;;;;;;;;;x
c_gabiyaha_adj_norman;Rosettan;Rosette;;;;;;;;;;;;x
c_gabiyaha_adj_sardinian;Rosettan;Rosetta;;;;;;;;;;;;x
c_gabiyaha_adj_sicilian;Rosettan;Rosetta;;;;;;;;;;;;x
c_gabiyaha_adj_southern_italian;Rosettan;Rosetta;;;;;;;;;;;;x
c_gabiyaha_adj_tuscan;Rosettan;Rosetta;;;;;;;;;;;;x
c_gabiyaha_adj_venetian;Rosettan;Rosetta;;;;;;;;;;;;x
c_galam_adj;Galamí;;;;;;;;;;;;;x
c_galatia_adj_frankish;Galatian;Galatie;;;;;;;;;;;;x
c_galatia_adj_norman;Galatian;Galatie;;;;;;;;;;;;x
c_galatia_adj_oghuz;Bozokan;Bozok;;;;;;;;;;;;x
c_galatia_adj_turkish;Bozokan;Bozok;;;;;;;;;;;;x
c_galatia_adj_turkmen;Bozokan;Bozok;;;;;;;;;;;;x
c_galich_adj;Galichian;;;;;;;;;;;;;x
c_galich_mersky_adj;Galich Merskiy;;;;;;;;;;;;;x
c_galindia_adj;Galindian;;;;;;;;;;;;;x
c_gallaibh_adj;Gallaibheach;;;;;;;;;;;;;x
c_galloway_adj;Gall Ghaidheal;;;;;;;;;;;;;x
c_gallura_adj;Galluran;;;;;;;;;;;;;x
c_gangra_adj;Gangrian;Gangra;;;;;;;;;;;;x
c_gangra_adj_oghuz;Çankiran;Çankiri;;;;;;;;;;;;x
c_gangra_adj_turkish;Çankiran;Çankiri;;;;;;;;;;;;x
c_gangra_adj_turkmen;Çankiran;Çankiri;;;;;;;;;;;;x
c_ganj-rustaq_adj;Ganj-Rustaqi;;;;;;;;;;;;;x
c_gao_adj;Gaan;;;;;;;;;;;;;x
c_gardman_adj;Gardmani;Gardman;;;;;;;;;;;;x
c_gatinas_adj;Gâtinais;;;;;;;;;;;;;x
c_gavi_adj;Bobbiese;;;;;;;;;;;;;x
c_gelre_adj;Wassenberger;;;;;;;;;;;;;x
c_gemer_adj;Gyõrian;;;;;;;;;;;;;x
c_geneve_adj;Genevois;genevoise;;;;;;;;;;;;x
c_genoa_adj;Genoan;;;;;;;;;;;;;x
c_ghadames_adj;Ghadamísí;;;;;;;;;;;;;x
c_ghana_adj;Hodhí;;;;;;;;;;;;;x
c_gharchistan_adj;Gharchistani;;;;;;;;;;;;;x
c_ghat_adj;Ghátí;;;;;;;;;;;;;x
c_ghazali_adj;Ghazali;;;;;;;;;;;;;x
c_ghor_adj;Ghóri;;;;;;;;;;;;;x
c_gibelet_adj;Gibletian;;;;;;;;;;;;;x
c_gibelet_adj_andalusian_arabic;Jebailan;Jebail;;;;;;;;;;;;x
c_gibelet_adj_bedouin_arabic;Jebailan;Jebail;;;;;;;;;;;;x
c_gibelet_adj_egyptian_arabic;Jebailan;Jebail;;;;;;;;;;;;x
c_gibelet_adj_greek;Byblian;Byblos;;;;;;;;;;;;x
c_gibelet_adj_levantine_arabic;Jebailan;Jebail;;;;;;;;;;;;x
c_gibelet_adj_maghreb_arabic;Jebailan;Jebail;;;;;;;;;;;;x
c_gibelet_adj_masmuda;Jebailan;Jebail;;;;;;;;;;;;x
c_gibelet_adj_sanhaja;Jebailan;Jebail;;;;;;;;;;;;x
c_gibelet_adj_sicilian_arabic;Jebailan;Jebail;;;;;;;;;;;;x
c_gibelet_adj_tagelmust;Jebailan;Jebail;;;;;;;;;;;;x
c_gibelet_adj_tuareg;Jebailan;Jebail;;;;;;;;;;;;x
c_gibelet_adj_zanata;Jebailan;Jebail;;;;;;;;;;;;x
c_girona_adj;Gerundense;;;;;;;;;;;;;x
c_gizeh_adj;Gízí;;;;;;;;;;;;;x
c_gizeh_adj_greek;Memphian;Memphis;;;;;;;;;;;;x
c_glamorgan_adj;Glywysingeg;;;;;;;;;;;;;x
c_gleiberg_adj;Gleiberger;;;;;;;;;;;;;x
c_glogow_adj;Glogovian;;;;;;;;;;;;;x
c_gloucester_adj;Gloucestershirean;;;;;;;;;;;;;x
c_gloucester_adj_breton;Glouian;;;;;;;;;;;;;x
c_gloucester_adj_cornish;Glouian;;;;;;;;;;;;;x
c_gloucester_adj_cumbric;Glouian;;;;;;;;;;;;;x
c_gloucester_adj_danish;Gleawcesterir;;;;;;;;;;;;;x
c_gloucester_adj_gothic;Gleawcesterir;;;;;;;;;;;;;x
c_gloucester_adj_icelandic;Gleawcesterir;;;;;;;;;;;;;x
c_gloucester_adj_irish;Glouian;;;;;;;;;;;;;x
c_gloucester_adj_norse;Gleawcesterir;;;;;;;;;;;;;x
c_gloucester_adj_norsegaelic;Gleawcesterir;;;;;;;;;;;;;x
c_gloucester_adj_norwegian;Gleawcesterir;;;;;;;;;;;;;x
c_gloucester_adj_saxon;Gleawcesterisc;;;;;;;;;;;;;x
c_gloucester_adj_scottish;Glouian;;;;;;;;;;;;;x
c_gloucester_adj_swedish;Gleawcesterir;;;;;;;;;;;;;x
c_gloucester_adj_welsh;Glouian;;;;;;;;;;;;;x
c_gnieznienskie_adj;Gnieznian;;;;;;;;;;;;;x
c_gobir_adj;Gobiri;;;;;;;;;;;;;x
c_goghtn_adj;Goghtnian;Goghtn;;;;;;;;;;;;x
c_goghtn_adj_andalusian_arabic;Nashawan;Nashawa;;;;;;;;;;;;x
c_goghtn_adj_bedouin_arabic;Nashawan;Nashawa;;;;;;;;;;;;x
c_goghtn_adj_egyptian_arabic;Nashawan;Nashawa;;;;;;;;;;;;x
c_goghtn_adj_greek;Naxouanan;Naxouana;;;;;;;;;;;;x
c_goghtn_adj_levantine_arabic;Nashawan;Nashawa;;;;;;;;;;;;x
c_goghtn_adj_maghreb_arabic;Nashawan;Nashawa;;;;;;;;;;;;x
c_goghtn_adj_sicilian_arabic;Nashawan;Nashawa;;;;;;;;;;;;x
c_gojjam_adj;Gojjami;;;;;;;;;;;;;x
c_gomel_adj;Gomiy;;;;;;;;;;;;;x
c_gorodez_adj;Radilov;;;;;;;;;;;;;x
c_gorz_adj;Görzer;;;;;;;;;;;;;x
c_gottingen_adj;Northeimer;;;;;;;;;;;;;x
c_gowrie_adj;Gowrieach;;;;;;;;;;;;;x
c_graisivaudan_adj;Graisivaudan;;;;;;;;;;;;;x
c_grassland_cheremisa_adj;Vütlan;Vütla;Vütla;;Vütla;;;;;;;;;x
c_grassland_cheremisa_adj_bohemian;Vetlugan;Vetluga;Vetluga;;Vetluga;;;;;;;;;x
c_grassland_cheremisa_adj_bosnian;Vetlugan;Vetluga;Vetluga;;Vetluga;;;;;;;;;x
c_grassland_cheremisa_adj_bulgarian;Vetlugan;Vetluga;Vetluga;;Vetluga;;;;;;;;;x
c_grassland_cheremisa_adj_carantanian;Vetlugan;Vetluga;Vetluga;;Vetluga;;;;;;;;;x
c_grassland_cheremisa_adj_croatian;Vetlugan;Vetluga;Vetluga;;Vetluga;;;;;;;;;x
c_grassland_cheremisa_adj_slovieni;Vetlugan;Vetluga;Vetluga;;Vetluga;;;;;;;;;x
c_grassland_cheremisa_adj_polish;Vetlugan;Vetluga;Vetluga;;Vetluga;;;;;;;;;x
c_grassland_cheremisa_adj_pommeranian;Vetlugan;Vetluga;Vetluga;;Vetluga;;;;;;;;;x
c_grassland_cheremisa_adj_russian;Vetlugan;Vetluga;Vetluga;;Vetluga;;;;;;;;;x
c_grassland_cheremisa_adj_serbian;Vetlugan;Vetluga;Vetluga;;Vetluga;;;;;;;;;x
c_gravina_adj;Gravinese;;;;;;;;;;;;;x
c_groitzsch_adj;Groitzscher;;;;;;;;;;;;;x
c_gruyere_adj;Gruyère;;;;;;;;;;;;;x
c_guadalajara_adj;Guadalajareña;;;;;;;;;;;;;x
c_gudbrandzdalar_adj;Guðbrandzdœlir;;;;;;;;;;;;;x
c_gudensberg_adj;Gudensberger;;;;;;;;;;;;;x
c_guipuzcoa_adj;Guipuzcoano;;;;;;;;;;;;;x
c_gurma_adj;Wagadougí;;;;;;;;;;;;;x
c_gutzkow_adj;Gutzkovian;;;;;;;;;;;;;x
c_gwent_adj;Gwenteg;;;;;;;;;;;;;x
c_gwynedd_adj;Gwyneddeg;;;;;;;;;;;;;x
c_gwyr_adj;Gwyreg;;;;;;;;;;;;;x
c_haband_adj;Habandian;;;;;;;;;;;;;x
c_hainaut_adj;Hainautian;;;;;;;;;;;;;x
c_hajar_adj;Nizwa;;;;;;;;;;;;;x
c_halland_adj;Syndræ Hallandr;;;;;;;;;;;;;x
c_halogaland_adj;Hálogalandr;;;;;;;;;;;;;x
c_hama_adj_greek;Epiphanian;Epiphania;;;;;;;;;;;;x
c_hamaland_adj;Hamalander;;;;;;;;;;;;;x
c_hamburg_adj;Stormarner;;;;;;;;;;;;;x
c_hanau_adj;Hanauer;;;;;;;;;;;;;x
c_hanyan_adj;Hunayní;;;;;;;;;;;;;x
c_harran_adj;Harranan;Harran;;;;;;;;;;;;x
c_harran_adj_greek;Karraian;Karrai;;;;;;;;;;;;x
c_hazarasp_adj;Hazaraspi;;;;;;;;;;;;;x
c_hazart_adj;Hazartian;Hazart;;;;;;;;;;;;x
c_hazart_adj_andalusian_arabic;Azazan;Azaz;;;;;;;;;;;;x
c_hazart_adj_bedouin_arabic;Azazan;Azaz;;;;;;;;;;;;x
c_hazart_adj_egyptian_arabic;Azazan;Azaz;;;;;;;;;;;;x
c_hazart_adj_levantine_arabic;Azazan;Azaz;;;;;;;;;;;;x
c_hazart_adj_maghreb_arabic;Azazan;Azaz;;;;;;;;;;;;x
c_hazart_adj_sicilian_arabic;Azazan;Azaz;;;;;;;;;;;;x
c_hebron_adj_andalusian_arabic;Khailan;El-Khail;;;;;;;;;;;;x
c_hebron_adj_bedouin_arabic;Khailan;El-Khail;;;;;;;;;;;;x
c_hebron_adj_egyptian_arabic;Khailan;El-Khail;;;;;;;;;;;;x
c_hebron_adj_greek;Hebrónan;Hebrón;;;;;;;;;;;;x
c_hebron_adj_levantine_arabic;Khailan;El-Khail;;;;;;;;;;;;x
c_hebron_adj_maghreb_arabic;Khailan;El-Khail;;;;;;;;;;;;x
c_hebron_adj_masmuda;Khailan;El-Khail;;;;;;;;;;;;x
c_hebron_adj_sanhaja;Khailan;El-Khail;;;;;;;;;;;;x
c_hebron_adj_sicilian_arabic;Khailan;El-Khail;;;;;;;;;;;;x
c_hebron_adj_tagelmust;Khailan;El-Khail;;;;;;;;;;;;x
c_hebron_adj_tuareg;Khailan;El-Khail;;;;;;;;;;;;x
c_hebron_adj_zanata;Khailan;El-Khail;;;;;;;;;;;;x
c_hedmark_adj;Heiðmørkr;;;;;;;;;;;;;x
c_helfenstein_adj;Helfensteiner;;;;;;;;;;;;;x
c_hellas_adj_central_italian;Lepantian;Lepanto;;;;;;;;;;;;x
c_hellas_adj_corsican;Lepantian;Lepanto;;;;;;;;;;;;x
c_hellas_adj_dalmatian;Lepantian;Lepanto;;;;;;;;;;;;x
c_hellas_adj_greek;Aiotolian;Aiotolia;;;;;;;;;;;;x
c_hellas_adj_italian;Lepantian;Lepanto;;;;;;;;;;;;x
c_hellas_adj_ligurian;Lepantian;Lepanto;;;;;;;;;;;;x
c_hellas_adj_neapolitan;Lepantian;Lepanto;;;;;;;;;;;;x
